Rk,Name,Position,Age,Team,Games,GS,MinutesPlayed,FG,FGA,3P,3PA,2P,2PA,FT,FTA,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PTS
116,DeMarcus Cousins,C,31,MIL,17,5,16.9,3.2,6.9,0.8,2.8,2.5,4.1,1.8,2.2,1.4,4.4,1.1,0.9,0.5,0.9,2.7,9.1
116,DeMarcus Cousins,C,31,DEN,8,0,13.1,1.9,6.4,0.6,2.3,1.3,4.1,1.8,2.5,2.0,4.3,1.1,0.6,0.3,2.3,2.9,6.1
117,Robert Covington,PF,31,POR,48,40,29.8,2.7,7.0,1.6,4.8,1.0,2.2,0.6,0.8,0.9,4.9,1.4,1.5,1.3,1.2,2.8,7.6
117,Robert Covington,SF,31,LAC,6,0,20.5,3.0,6.0,1.2,3.5,1.8,2.5,1.7,2.2,1.2,3.0,1.0,1.5,0.8,1.3,2.7,8.8
118,Torrey Craig,SF,31,IND,51,14,20.3,2.5,5.5,0.9,2.7,1.6,2.8,0.5,0.7,1.2,2.7,1.1,0.5,0.4,0.8,1.9,6.5
119,Jae Crowder,PF,31,PHO,48,48,28.2,3.1,7.8,1.8,5.2,1.3,2.6,1.0,1.2,0.5,4.8,1.5,1.3,0.5,0.8,2.4,8.9
120,Jarrett Culver,SG,22,MEM,27,0,9.2,1.5,3.6,0.4,1.2,1.1,2.3,0.4,0.9,0.4,1.1,1.0,0.6,0.1,0.5,1.1,3.8
122,Cade Cunningham,PG,20,DET,44,44,31.8,6.0,15.2,2.0,6.2,4.0,9.0,1.8,2.0,0.9,4.5,5.2,1.3,0.7,3.5,3.0,15.7
123,Seth Curry,SG,31,PHI,45,45,34.8,5.7,11.7,2.2,5.6,3.5,6.2,1.4,1.6,0.4,3.0,4.0,0.8,0.2,1.9,2.2,15.0
124,Stephen Curry,PG,33,GSW,54,54,34.8,8.4,19.6,4.6,12.3,3.7,7.3,4.4,4.8,0.6,4.7,6.3,1.4,0.4,3.2,2.1,25.8
125,Anthony Davis,C,28,LAL,37,37,35.1,9.2,17.2,0.3,1.8,8.9,15.4,4.4,6.1,2.8,6.9,2.9,1.2,2.3,2.1,2.5,23.1
126,Ed Davis,C,32,CLE,19,3,7.5,0.5,0.7,0.0,0.0,0.5,0.7,0.2,0.4,0.4,1.9,0.3,0.2,0.4,0.3,1.4,1.1
127,Terence Davis,SG,24,SAC,30,11,17.9,3.8,8.9,1.6,5.0,2.1,3.9,1.2,1.5,0.4,2.8,1.3,0.8,0.4,1.1,2.3,10.4
128,Gabriel Deck,PF,26,OKC,7,0,8.0,1.1,2.0,0.3,0.6,0.9,1.4,0.0,0.0,0.1,0.7,0.7,0.1,0.0,0.3,0.3,2.6
129,Dewayne Dedmon,C,32,MIA,50,15,16.4,2.6,4.5,0.3,0.6,2.3,3.9,1.1,1.4,1.8,4.3,0.7,0.4,0.5,1.1,2.4,6.6
132,DeMar DeRozan,PF,32,CHI,55,55,35.6,10.3,19.9,0.6,1.8,9.7,18.1,6.9,8.0,0.8,4.4,5.1,0.9,0.3,2.3,2.2,28.1
133,Mamadi Diakite,PF,25,OKC,13,3,14.5,1.9,3.6,0.0,0.4,1.9,3.2,0.5,0.8,1.3,3.2,0.2,0.4,0.7,0.5,2.5,4.3
135,Hamidou Diallo,SG,23,DET,51,29,22.6,4.5,9.2,0.4,1.6,4.2,7.6,1.6,2.4,1.2,3.7,1.3,1.2,0.3,1.0,2.6,11.1
136,Gorgui Dieng,C,32,ATL,37,3,9.0,1.2,2.6,0.6,1.5,0.6,1.1,0.5,0.6,0.9,2.2,0.8,0.3,0.4,0.5,1.2,3.6
137,Spencer Dinwiddie,PG,28,WAS,44,44,30.2,4.2,11.2,1.6,5.1,2.6,6.0,2.6,3.3,0.8,3.9,5.8,0.6,0.2,1.7,2.4,12.6
138,Donte DiVincenzo,SG,25,MIL,17,0,20.1,2.3,6.9,1.2,4.4,1.1,2.6,1.4,1.6,1.1,2.5,1.7,0.6,0.2,1.6,1.5,7.2
139,Luka Don?i?,PG,22,DAL,43,43,35.4,9.6,21.3,2.7,8.1,6.9,13.2,5.3,7.2,0.9,8.2,9.0,1.2,0.5,4.4,2.4,27.0
140,Luguentz Dort,SF,22,OKC,51,51,32.6,5.7,14.2,2.5,7.7,3.2,6.6,3.2,3.7,0.7,3.4,1.7,0.9,0.4,1.7,2.9,17.2
