Rk,Name,Position,Age,Team,Games,GS,MinutesPlayed,FG,FGA,3P,3PA,2P,2PA,FT,FTA,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PTS
233,George Hill,SG,35,MIL,41,16,25.5,2.5,5.7,0.9,2.9,1.6,2.9,1.2,1.2,0.9,2.4,2.5,0.8,0.1,0.9,1.4,7.0
234,Malcolm Hill,SF,26,CHI,13,0,11.5,1.4,3.1,0.8,2.2,0.6,0.9,0.5,0.8,0.7,1.3,0.2,0.2,0.2,0.2,1.1,4.1
235,Solomon Hill,PF,30,ATL,13,1,10.7,0.2,1.5,0.2,1.0,0.1,0.5,0.0,0.0,0.5,1.3,0.9,0.3,0.2,0.1,1.2,0.6
238,Aaron Holiday,PG,25,WAS,41,14,16.2,2.4,5.2,0.6,1.6,1.9,3.6,0.7,0.9,0.2,1.4,1.9,0.6,0.2,1.0,1.5,6.1
239,Jrue Holiday,PG,31,MIL,46,43,32.9,7.2,14.2,1.8,4.5,5.3,9.7,1.8,2.3,1.0,3.6,6.7,1.5,0.5,2.8,1.9,18.0
240,Justin Holiday,SF,32,IND,49,40,28.9,3.9,9.3,2.6,6.9,1.3,2.5,0.7,0.8,0.4,2.4,1.8,0.7,0.4,1.0,2.1,11.0
240,Justin Holiday,SG,32,SAC,4,4,32.3,3.8,10.8,2.8,7.3,1.0,3.5,0.5,0.5,1.0,1.0,2.3,0.8,1.0,1.5,2.3,10.8
241,Richaun Holmes,C,28,SAC,41,37,24.7,4.6,6.9,0.0,0.1,4.6,6.8,1.6,2.1,2.1,5.2,1.1,0.4,1.0,1.3,2.9,11.0
242,Rodney Hood,SF,29,MIL,39,0,14.9,1.2,3.4,0.6,2.1,0.6,1.3,0.3,0.4,0.3,1.4,0.8,0.3,0.1,0.2,0.7,3.3
244,Al Horford,C,35,BOS,51,51,28.3,3.8,8.5,1.2,4.0,2.6,4.5,1.3,1.5,1.5,6.0,3.4,0.6,1.3,1.0,1.8,10.1
245,Talen Horton-Tucker,SG,21,LAL,42,15,25.9,3.6,8.7,0.8,3.0,2.7,5.7,1.5,1.9,0.6,2.7,2.7,0.9,0.6,1.5,2.5,9.5
246,Danuel House Jr.,SF,28,HOU,16,1,14.6,1.6,4.6,0.6,2.1,0.9,2.5,1.1,1.2,0.3,2.4,1.2,0.3,0.3,1.1,1.0,4.8
246,Danuel House Jr.,SF,28,UTA,9,1,18.6,2.4,5.0,1.3,3.1,1.1,1.9,1.1,1.6,0.6,1.9,1.3,0.6,0.4,0.6,1.2,7.3
247,Dwight Howard,C,36,LAL,42,11,14.4,1.9,3.0,0.1,0.2,1.7,2.8,1.3,2.1,1.9,3.5,0.5,0.7,0.6,0.8,2.0,5.1
248,Markus Howard,SG,22,DEN,22,0,6.1,1.2,3.3,1.0,2.4,0.2,0.9,0.6,0.6,0.0,0.3,0.3,0.3,0.0,0.3,0.5,4.1
249,Kevin Huerter,SG,23,ATL,51,37,29.0,4.5,9.8,1.9,5.1,2.6,4.7,0.6,0.7,0.4,2.7,2.8,0.6,0.4,1.3,2.3,11.6
250,Jay Huff,C,23,LAL,4,0,5.0,0.0,0.8,0.0,0.5,0.0,0.3,0.0,0.0,0.3,0.8,0.3,0.3,0.3,0.3,0.3,0.0
251,Elijah Hughes,SF,23,UTA,14,1,8.0,1.1,2.6,0.7,2.0,0.4,0.6,0.2,0.2,0.1,1.1,0.4,0.3,0.1,0.5,0.5,3.1
252,De'Andre Hunter,SF,24,ATL,30,29,29.1,4.8,10.8,1.4,3.7,3.4,7.1,2.0,2.7,0.5,2.9,1.2,0.6,0.4,1.4,3.0,13.0
253,Chandler Hutchison,SF,25,PHO,6,0,3.7,0.2,0.3,0.0,0.0,0.2,0.3,0.3,0.3,0.0,0.8,0.3,0.0,0.0,0.7,0.2,0.7
254,Bones Hyland,PG,21,DEN,46,3,18.0,3.0,8.0,1.7,5.0,1.2,3.1,1.1,1.3,0.2,2.6,2.0,0.5,0.3,1.2,2.1,8.8
255,Serge Ibaka,C,32,LAC,35,10,15.4,2.7,5.5,0.7,1.8,2.0,3.7,0.6,0.8,1.1,3.1,1.0,0.2,0.7,0.9,1.6,6.6
256,Andre Iguodala,SF,38,GSW,26,0,19.9,1.5,3.9,0.5,2.3,1.0,1.6,0.5,0.6,0.7,2.6,3.8,0.8,0.8,0.9,1.0,4.1
257,Joe Ingles,SF,34,UTA,45,15,24.9,2.6,6.3,1.7,5.0,0.8,1.3,0.4,0.5,0.3,2.6,3.5,0.5,0.1,1.0,1.8,7.2
258,Brandon Ingram,SF,24,NOP,44,44,34.3,8.2,18.1,1.5,4.4,6.7,13.7,4.4,5.4,0.7,5.0,5.3,0.6,0.5,2.7,2.2,22.3
259,Kyrie Irving,PG,29,BRK,14,14,36.2,9.1,20.1,2.5,6.8,6.6,13.3,3.5,3.8,0.6,4.2,5.4,1.1,0.6,2.4,2.4,24.1
261,Frank Jackson,PG,23,DET,43,5,22.5,3.8,9.3,1.8,5.5,2.1,3.8,1.4,1.8,0.3,1.3,1.0,0.5,0.2,0.8,1.7,10.9
262,Isaiah Jackson,PF,20,IND,20,2,9.7,2.3,4.2,0.2,0.4,2.1,3.8,1.1,1.7,1.2,1.6,0.4,0.6,0.8,0.6,1.9,5.8
263,Jaren Jackson Jr.,PF,22,MEM,59,59,27.8,5.7,13.7,1.7,5.5,3.9,8.2,3.6,4.5,1.6,4.4,1.1,1.0,2.2,1.7,3.4,16.7
264,Josh Jackson,SF,24,DET,39,3,18.1,2.6,6.4,0.8,2.9,1.9,3.5,1.0,1.4,0.4,2.7,1.3,0.5,0.5,1.0,1.8,7.1
265,Justin Jackson,SF,26,PHO,6,0,5.8,0.8,2.3,0.5,1.5,0.3,0.8,0.0,0.0,0.2,1.0,0.3,0.0,0.0,0.2,0.5,2.2
266,Reggie Jackson,SG,31,LAC,56,56,30.9,6.3,16.0,2.3,7.0,4.0,9.0,1.7,2.1,0.5,3.0,4.4,0.7,0.2,2.2,2.0,16.6
267,LeBron James,SF,37,LAL,41,41,36.8,11.0,21.2,2.8,7.9,8.3,13.3,4.2,5.6,1.1,6.8,6.5,1.6,1.0,3.2,2.2,29.1
270,Ty Jerome,SG,24,OKC,48,4,16.7,2.6,6.8,1.1,3.9,1.5,3.0,0.8,1.0,0.4,1.2,2.3,0.6,0.1,0.8,1.5,7.1
271,Isaiah Joe,SG,22,PHI,41,1,12.2,1.2,3.5,0.9,2.7,0.3,0.8,0.5,0.5,0.1,1.0,0.7,0.3,0.0,0.4,0.9,3.8
272,Alize Johnson,PF,25,CHI,16,0,7.6,0.8,1.4,0.0,0.1,0.8,1.3,0.3,0.4,1.0,1.3,0.5,0.2,0.0,0.5,0.9,1.8
273,B.J. Johnson,SF,26,ORL,4,0,16.3,2.8,6.3,1.0,2.5,1.8,3.8,0.0,0.0,1.5,2.3,0.0,0.0,0.3,0.0,1.0,6.5
274,Cameron Johnson,PF,25,PHO,55,10,26.0,4.1,8.9,2.5,5.7,1.7,3.2,1.2,1.4,0.6,3.6,1.3,0.9,0.2,0.6,1.7,11.9
276,Jalen Johnson,PF,20,ATL,14,0,4.6,0.6,1.4,0.2,0.6,0.4,0.9,0.3,0.4,0.0,1.1,0.1,0.0,0.1,0.2,0.2,1.8
277,James Johnson,PF,34,BRK,43,6,19.3,2.6,5.3,0.3,1.3,2.3,4.0,0.4,0.9,1.0,2.6,2.0,0.5,0.3,0.8,2.5,5.9
279,Keldon Johnson,SF,22,SAS,55,54,31.3,5.8,12.5,1.9,4.5,3.9,8.0,2.1,2.8,1.1,4.9,1.8,0.8,0.1,1.3,1.9,15.7
280,Keon Johnson,SG,19,LAC,15,0,9.0,1.1,3.4,0.2,0.7,0.9,2.7,1.1,1.4,0.4,1.0,0.9,0.5,0.1,0.5,1.4,3.5
281,Stanley Johnson,PF,25,LAL,24,14,22.0,2.5,5.1,0.7,2.1,1.8,3.0,0.9,1.3,0.7,2.5,1.4,0.7,0.4,0.5,2.8,6.5
283,Nikola Joki?,C,26,DEN,52,52,33.0,9.9,17.4,1.6,4.3,8.3,13.1,4.5,5.6,2.8,11.0,7.9,1.3,0.8,3.8,2.5,26.0
285,Damian Jones,C,26,SAC,37,5,15.2,2.4,3.8,0.1,0.4,2.3,3.4,1.3,1.8,1.4,2.5,1.1,0.3,0.6,1.0,2.1,6.3
286,Derrick Jones Jr.,PF,24,CHI,34,8,17.5,2.2,4.1,0.5,1.2,1.8,2.9,1.2,1.4,1.3,2.1,0.6,0.5,0.7,0.5,2.4,6.1
287,Herbert Jones,PF,23,NOP,55,46,29.9,3.6,7.2,0.7,1.9,2.9,5.3,1.7,1.9,1.3,2.6,2.1,1.5,0.9,1.2,3.1,9.6
289,Kai Jones,C,21,CHO,17,0,2.8,0.4,0.6,0.1,0.1,0.4,0.5,0.1,0.2,0.1,0.4,0.2,0.0,0.0,0.3,0.3,0.9
291,Tre Jones,PG,22,SAS,46,4,13.5,2.0,4.0,0.1,0.4,1.9,3.5,0.8,0.9,0.4,1.5,2.4,0.4,0.0,0.5,0.9,4.8
292,Tyus Jones,PG,25,MEM,53,14,20.7,3.2,7.0,0.9,2.5,2.3,4.5,0.7,0.8,0.2,2.2,4.2,0.9,0.0,0.7,0.4,8.1
293,DeAndre Jordan,C,33,LAL,31,19,12.9,1.9,2.8,0.0,0.0,1.9,2.8,0.4,0.8,1.6,3.9,0.4,0.3,0.8,0.6,1.6,4.2
294,Cory Joseph,PG,30,DET,47,21,24.4,2.8,6.2,1.0,2.4,1.8,3.9,1.4,1.7,0.4,2.1,3.9,0.7,0.3,1.4,2.2,8.1
295,Georgios Kalaitzakis,SF,23,MIL,9,0,5.3,0.6,1.2,0.2,0.4,0.3,0.8,0.4,1.0,0.4,0.4,0.0,0.1,0.1,0.4,0.9,1.8
296,Frank Kaminsky,C,28,PHO,9,0,20.1,4.0,7.3,0.6,1.7,3.4,5.7,2.0,2.2,1.2,3.3,1.4,0.9,0.8,0.6,1.6,10.6
297,Luke Kennard,SG,25,LAC,49,10,27.9,4.0,9.1,2.6,6.1,1.4,3.0,0.9,1.0,0.2,3.3,2.2,0.6,0.1,0.8,1.6,11.6
299,George King,SF,28,DAL,4,0,4.8,0.0,1.3,0.0,1.0,0.0,0.3,0.3,0.5,0.0,1.3,0.0,0.0,0.0,0.3,1.0,0.3
300,Louis King,SF,22,SAC,10,0,10.4,1.5,4.7,0.8,2.7,0.7,2.0,0.7,1.0,0.0,1.2,0.9,0.2,0.1,0.0,1.4,4.5
301,Corey Kispert,SF,22,WAS,52,11,19.6,2.4,5.7,1.0,3.3,1.4,2.4,0.7,0.8,0.7,1.9,0.9,0.3,0.3,0.6,0.9,6.6
302,Maxi Kleber,PF,30,DAL,41,20,25.3,2.6,6.1,1.7,4.5,0.9,1.6,0.8,1.1,1.2,4.8,1.1,0.5,1.0,0.7,2.3,7.7
304,Nathan Knight,PF,24,MIN,28,2,6.9,1.0,2.0,0.1,0.3,0.9,1.7,1.1,1.6,0.8,1.3,0.5,0.1,0.3,0.4,1.0,3.1
305,Kevin Knox,SF,22,NYK,13,0,8.5,1.2,3.1,0.8,2.2,0.4,0.9,0.5,0.8,0.6,1.1,0.2,0.2,0.1,0.4,0.4,3.6
305,Kevin Knox,SF,22,ATL,8,0,7.1,0.8,2.6,0.1,1.4,0.6,1.3,0.4,0.5,0.4,1.3,0.6,0.1,0.0,0.3,0.8,2.0
306,John Konchar,SG,25,MEM,52,6,18.6,1.8,3.6,0.8,1.8,1.0,1.8,0.4,0.7,1.1,3.3,1.4,0.7,0.3,0.4,1.3,4.8
307,Furkan Korkmaz,SG,24,PHI,50,18,23.9,3.2,8.1,1.3,4.5,1.9,3.6,1.2,1.4,0.3,2.6,2.3,0.6,0.1,0.8,1.0,8.8
309,Vit Krejci,SG,21,OKC,6,0,5.2,0.3,1.0,0.0,0.7,0.3,0.3,0.3,0.3,0.0,0.8,0.3,0.0,0.0,0.3,0.3,1.0
311,Jonathan Kuminga,SF,19,GSW,47,7,14.5,2.9,5.7,0.6,1.9,2.3,3.9,1.5,2.3,0.6,2.2,0.7,0.4,0.2,0.9,1.9,8.0
312,Kyle Kuzma,PF,26,WAS,54,54,33.2,6.2,13.6,1.9,5.6,4.3,8.1,2.3,3.2,1.1,7.7,3.1,0.6,0.9,2.3,1.8,16.5
314,Jeremy Lamb,SF,29,IND,39,0,15.7,2.2,5.8,1.0,3.0,1.2,2.8,1.7,2.1,0.4,2.0,1.3,0.6,0.4,0.6,1.1,7.1
315,Jock Landale,C,26,SAS,36,1,10.2,1.8,3.6,0.6,1.6,1.2,2.0,0.6,0.7,1.1,1.1,0.9,0.2,0.3,0.6,0.9,4.6
316,Romeo Langford,SG,22,BOS,44,5,16.5,1.8,4.2,0.7,1.9,1.1,2.3,0.5,0.8,0.7,1.7,0.4,0.5,0.4,0.4,1.0,4.7
317,Zach LaVine,SF,26,CHI,47,47,34.6,8.7,18.1,2.9,7.2,5.9,11.0,4.2,4.9,0.3,4.6,4.5,0.6,0.4,2.7,1.7,24.6
318,Jake Layman,SF,27,MIN,23,1,7.3,0.8,2.1,0.2,1.1,0.6,1.0,0.3,0.3,0.2,0.9,0.3,0.3,0.2,0.3,0.4,2.0
319,Damion Lee,SG,29,GSW,47,3,20.3,2.9,6.4,1.2,3.3,1.7,3.1,0.9,1.0,0.4,2.7,0.9,0.7,0.1,0.6,1.4,7.8
320,Saben Lee,PG,22,DET,28,0,14.5,1.6,4.4,0.4,1.6,1.2,2.8,1.2,1.5,0.4,2.0,2.3,0.9,0.4,0.9,0.9,4.9
321,Alex Len,C,28,SAC,33,9,16.9,2.5,4.7,0.2,0.6,2.3,4.1,1.1,1.7,1.5,3.2,1.2,0.4,0.8,1.2,2.7,6.2
322,Caris LeVert,SG,27,IND,39,39,31.1,7.1,15.9,1.6,4.8,5.6,11.1,2.8,3.7,0.8,3.1,4.4,0.9,0.5,1.9,2.3,18.7
322,Caris LeVert,SG,27,CLE,4,1,31.0,5.8,14.5,1.0,3.5,4.8,11.0,0.8,1.0,0.3,1.3,3.8,1.5,0.3,1.5,1.8,13.3
323,Kira Lewis Jr.,PG,20,NOP,24,0,14.2,2.5,6.1,0.5,2.4,1.9,3.7,0.4,0.5,0.4,1.3,2.0,0.5,0.0,1.1,0.7,5.9
325,Damian Lillard,PG,31,POR,29,29,36.4,7.7,19.0,3.2,9.8,4.5,9.2,5.5,6.2,0.4,3.7,7.3,0.6,0.4,2.9,1.3,24.0
326,Nassir Little,SF,21,POR,42,23,25.9,3.5,7.5,1.2,3.7,2.2,3.8,1.6,2.2,1.4,4.2,1.3,0.6,0.9,1.0,2.0,9.8
328,Kevon Looney,C,25,GSW,59,59,21.4,2.6,4.8,0.0,0.0,2.6,4.7,1.1,1.7,2.7,4.8,1.7,0.6,0.7,0.9,2.7,6.3
330,Robin Lopez,C,33,ORL,27,9,17.3,3.4,6.0,0.1,0.2,3.3,5.8,0.9,1.5,2.0,1.6,1.6,0.0,0.6,1.3,1.9,7.7
332,Kevin Love,PF,33,CLE,50,2,22.3,4.5,10.7,2.5,6.4,2.0,4.2,2.7,3.2,1.2,6.2,2.1,0.3,0.2,1.3,1.2,14.3
333,Kyle Lowry,PG,35,MIA,45,45,34.0,4.3,10.3,2.1,6.0,2.2,4.3,2.3,2.7,0.6,3.9,8.0,1.2,0.3,3.0,2.8,13.0
334,Timothé Luwawu-Cabarrot,SF,26,ATL,36,12,12.6,1.4,3.6,0.9,2.4,0.5,1.2,0.5,0.6,0.3,1.1,0.7,0.4,0.1,0.4,1.3,4.1
335,Trey Lyles,PF,26,DET,51,3,19.4,3.4,7.5,0.9,2.9,2.6,4.7,2.7,3.5,1.2,3.6,1.1,0.4,0.5,1.1,1.8,10.4
336,Théo Maledon,PG,20,OKC,31,0,14.2,1.3,4.2,0.5,2.1,0.8,2.1,1.2,1.4,0.3,1.4,1.2,0.5,0.2,0.9,1.1,4.3
337,Sandro Mamukelashvili,PF,22,MIL,33,2,9.5,1.2,2.6,0.5,1.2,0.7,1.4,0.3,0.4,0.8,0.9,0.5,0.2,0.2,0.3,0.6,3.1
338,Terance Mann,SF,25,LAC,59,23,28.9,4.0,8.4,1.0,2.7,3.1,5.7,1.3,1.8,1.3,3.9,2.4,0.7,0.1,1.0,2.2,10.4
339,Tre Mann,PG,20,OKC,45,13,20.0,3.2,8.3,1.4,3.8,1.8,4.5,0.9,1.2,0.3,1.9,1.0,0.7,0.2,0.8,1.7,8.7
340,Boban Marjanovi?,C,33,DAL,17,0,5.8,2.1,3.4,0.1,0.2,2.1,3.2,0.5,0.9,0.4,1.4,0.1,0.0,0.1,0.6,1.2,4.8
341,Lauri Markkanen,PF,24,CLE,38,38,30.2,4.9,11.3,2.0,5.9,2.9,5.4,1.7,1.9,1.1,4.2,1.5,0.8,0.6,0.8,1.8,13.6
342,Naji Marshall,SF,24,NOP,32,0,9.6,1.3,3.4,0.3,1.5,0.9,1.9,0.9,1.1,0.5,1.6,0.8,0.4,0.1,0.8,0.9,3.8
343,Caleb Martin,SF,26,MIA,44,10,22.9,3.7,7.2,1.0,2.6,2.7,4.6,1.2,1.6,1.3,2.7,1.0,1.0,0.5,0.8,1.6,9.5
344,Cody Martin,SF,26,CHO,49,11,27.2,2.9,6.5,1.0,2.4,2.0,4.1,1.1,1.7,1.2,3.0,2.6,1.3,0.5,0.9,1.7,8.0
345,Kelan Martin,SF,26,IND,27,1,16.4,2.6,6.2,0.8,2.7,1.8,3.5,0.3,0.5,0.6,1.4,0.8,0.5,0.3,0.5,1.3,6.3
346,Kenyon Martin Jr.,SF,21,HOU,54,0,19.9,3.5,6.5,0.6,1.8,2.9,4.7,1.1,1.6,1.2,2.8,1.3,0.4,0.5,0.8,1.3,8.5
347,Garrison Mathews,SG,25,HOU,40,18,27.3,3.3,7.9,2.4,6.5,0.8,1.4,2.6,3.2,0.6,2.8,1.0,0.7,0.4,0.7,2.9,11.5
348,Dakota Mathias,SG,26,MEM,6,0,2.7,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.0,0.0,0.2,1.0
349,Wesley Matthews,SG,35,MIL,29,6,19.2,1.8,4.5,1.1,3.2,0.7,1.2,0.2,0.3,0.5,1.3,0.7,0.4,0.2,0.4,1.9,5.0
350,Tyrese Maxey,PG,21,PHI,50,49,35.5,6.3,13.4,1.4,3.5,4.9,9.9,2.8,3.2,0.4,3.2,4.6,0.7,0.5,1.2,2.1,16.9
351,Skylar Mays,SG,24,ATL,23,5,9.0,1.3,2.7,0.3,1.1,1.0,1.6,0.3,0.4,0.2,0.9,0.7,0.3,0.0,0.4,0.3,3.4
352,Miles McBride,PG,21,NYK,21,2,7.2,0.7,2.8,0.2,1.5,0.5,1.3,0.1,0.2,0.1,0.7,1.1,0.4,0.0,0.1,0.7,1.8
354,CJ McCollum,SG,30,POR,36,36,35.2,8.1,18.5,3.1,8.0,5.0,10.4,1.3,1.9,0.9,3.3,4.5,1.0,0.6,1.9,2.1,20.5
354,CJ McCollum,SG,30,NOP,4,4,35.8,10.5,20.8,2.5,7.5,8.0,13.3,2.5,3.0,1.3,5.8,5.5,1.3,0.0,2.0,1.5,26.0
355,T.J. McConnell,PG,29,IND,24,6,24.2,3.8,7.5,0.3,1.0,3.5,6.5,0.5,0.6,0.8,2.5,4.8,1.0,0.4,1.2,1.8,8.4
356,Jaden McDaniels,PF,21,MIN,56,24,26.3,3.5,7.9,1.1,3.6,2.5,4.4,0.8,1.0,1.2,3.1,1.2,0.8,0.7,1.1,3.2,8.9
357,Jalen McDaniels,SF,24,CHO,39,2,17.6,2.5,5.1,0.8,2.2,1.7,2.8,0.8,1.2,0.7,2.7,1.1,0.5,0.4,0.8,1.8,6.6
358,Doug McDermott,PF,30,SAS,43,43,24.5,4.5,9.5,2.3,5.3,2.2,4.3,0.6,0.8,0.4,2.1,1.2,0.3,0.1,0.8,1.6,11.9
359,JaVale McGee,C,34,PHO,52,14,16.1,4.3,6.5,0.0,0.1,4.2,6.4,1.4,2.0,2.3,4.6,0.6,0.3,1.0,1.4,2.5,9.9
361,Rodney McGruder,SG,30,DET,33,1,13.5,1.7,3.7,0.9,2.2,0.8,1.5,0.3,0.4,0.5,1.4,0.8,0.4,0.1,0.4,1.0,4.5
362,Alfonzo McKinnie,SF,29,CHI,17,3,12.1,1.4,3.6,0.5,1.6,0.9,2.0,0.1,0.5,0.8,1.2,0.3,0.1,0.2,0.4,1.5,3.5
363,JaQuori McLaughlin,PG,24,DAL,4,0,2.8,0.0,0.5,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0
364,Jordan McLaughlin,PG,25,MIN,41,3,12.5,1.1,3.0,0.2,1.1,0.9,1.8,0.6,0.8,0.2,1.1,2.8,0.7,0.1,0.5,0.6,3.0
365,Ben McLemore,SG,28,POR,42,6,18.8,3.1,7.7,2.3,6.1,0.8,1.6,0.7,0.9,0.3,1.3,0.9,0.4,0.1,0.6,1.4,9.1
366,De'Anthony Melton,SG,23,MEM,51,13,22.7,3.6,9.3,1.6,4.7,2.0,4.6,1.1,1.6,1.0,3.5,2.7,1.6,0.5,1.4,1.7,9.9
367,Sam Merrill,SG,25,MEM,6,0,9.7,1.3,4.0,1.2,3.8,0.2,0.2,0.3,0.7,0.2,1.0,0.7,0.0,0.0,0.3,0.5,4.2
368,Chimezie Metu,C,24,SAC,42,20,22.2,3.4,7.8,1.0,3.4,2.5,4.4,1.2,1.6,0.7,5.2,1.1,0.8,0.6,1.0,1.4,9.0
369,Khris Middleton,SF,30,MIL,47,47,32.0,6.6,14.9,2.3,6.3,4.3,8.7,4.0,4.5,0.6,4.9,5.3,1.2,0.3,3.0,2.5,19.4
371,Patty Mills,PG,33,BRK,57,40,31.1,4.7,11.1,3.2,7.7,1.5,3.4,0.7,0.8,0.2,1.9,2.6,0.7,0.3,1.0,1.5,13.2
372,Paul Millsap,PF,36,BRK,24,0,11.3,1.3,3.5,0.3,1.1,1.1,2.4,0.5,0.7,1.2,2.5,1.0,0.2,0.5,0.5,2.0,3.4
373,Shake Milton,PG,25,PHI,30,6,24.7,3.8,9.3,0.8,2.8,3.0,6.5,1.6,1.8,0.6,2.5,2.9,0.7,0.4,1.2,2.1,10.1
374,Davion Mitchell,PG,23,SAC,53,8,26.0,4.3,10.5,1.4,4.3,2.8,6.2,0.5,0.8,0.6,1.8,3.5,0.7,0.3,1.2,1.9,10.4
375,Donovan Mitchell,SG,25,UTA,46,46,33.4,9.3,20.3,3.3,9.5,5.9,10.8,3.9,4.5,0.9,3.3,5.2,1.6,0.3,2.9,2.4,25.7
376,Evan Mobley,PF,20,CLE,50,50,34.1,6.0,12.0,0.4,1.4,5.7,10.6,2.4,3.6,1.9,6.2,2.6,0.8,1.6,2.0,2.0,14.9
377,Malik Monk,SG,23,LAL,52,19,27.1,4.8,10.1,2.3,5.6,2.5,4.5,1.2,1.5,0.4,2.9,2.4,0.7,0.4,1.4,1.7,13.0
378,Greg Monroe,C,31,MIL,5,0,14.0,2.2,4.4,0.0,0.0,2.2,4.4,1.0,1.8,2.2,2.0,0.4,0.6,0.4,0.6,1.4,5.4
379,Moses Moody,SG,19,GSW,34,4,9.5,1.1,3.0,0.6,1.8,0.6,1.1,0.4,0.5,0.2,1.1,0.3,0.1,0.2,0.2,0.7,3.2
380,Xavier Moon,SG,27,LAC,6,0,13.8,2.3,5.7,0.5,1.7,1.8,4.0,0.3,0.5,0.2,1.3,1.7,0.8,0.2,0.5,0.7,5.5
382,Ja Morant,PG,22,MEM,46,46,33.2,10.0,20.2,1.5,4.5,8.5,15.7,5.3,7.0,1.3,4.5,6.9,1.2,0.4,3.4,1.5,26.8
385,Marcus Morris,PF,32,LAC,35,35,30.1,5.9,13.4,2.1,5.4,3.8,8.1,2.1,2.5,0.6,4.2,2.1,0.5,0.3,1.2,2.3,15.9
386,Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7.0,0.8,2.2,2.4,4.8,0.5,0.5,1.3,1.5,1.4,0.3,0.1,1.2,2.2,7.7
387,Monte Morris,PG,26,DEN,52,51,30.0,5.1,10.7,1.6,4.3,3.5,6.4,0.9,1.0,0.4,2.6,4.3,0.7,0.2,1.0,1.2,12.7
389,Mychal Mulder,PG,27,ORL,15,2,13.0,1.3,4.5,0.9,3.1,0.5,1.4,0.1,0.1,0.1,1.3,0.2,0.3,0.1,0.5,0.8,3.7
391,Trey Murphy III,SF,21,NOP,41,0,12.7,1.2,3.6,0.9,2.6,0.3,1.0,0.6,0.7,0.7,1.5,0.5,0.3,0.1,0.3,1.0,3.9
392,Dejounte Murray,PG,25,SAS,52,52,34.4,8.2,17.9,1.3,4.0,6.9,13.9,2.2,2.9,1.3,7.0,9.3,2.0,0.3,2.4,2.0,19.9
393,Mike Muscala,C,30,OKC,43,0,13.8,2.6,5.8,1.6,3.8,1.0,2.0,1.1,1.3,0.5,2.5,0.5,0.4,0.6,0.3,1.3,8.0
394,Svi Mykhailiuk,SF,24,TOR,43,5,15.2,1.9,4.8,0.8,2.7,1.1,2.1,0.6,0.7,0.5,1.6,0.9,0.6,0.1,0.7,1.1,5.3
395,Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.3,1.0,0.6,1.5,0.4,0.7,0.3,1.6,0.5,0.6,0.3,0.8,1.4,2.4
396,Larry Nance Jr.,PF,29,POR,37,11,23.2,2.8,5.4,0.5,1.7,2.2,3.7,0.9,1.3,1.6,4.1,2.0,1.0,0.4,0.7,1.8,6.9
397,RJ Nembhard Jr.,SG,22,CLE,7,0,6.3,0.7,1.6,0.0,0.1,0.7,1.4,0.1,0.3,0.0,0.3,1.4,0.0,0.0,0.3,0.3,1.6
398,Aaron Nesmith,SF,22,BOS,41,1,10.8,1.3,3.5,0.5,2.2,0.8,1.3,0.4,0.5,0.3,1.4,0.3,0.3,0.1,0.6,1.3,3.5
399,Raul Neto,PG,29,WAS,48,4,20.3,3.0,6.6,0.4,1.9,2.5,4.8,1.3,1.7,0.2,1.8,2.8,0.8,0.0,1.3,1.6,7.7
401,Georges Niang,PF,28,PHI,53,5,23.1,3.3,7.6,1.9,4.8,1.4,2.8,0.8,0.9,0.4,2.3,1.5,0.4,0.2,0.8,2.6,9.3
402,Daishen Nix,SG,19,HOU,8,0,8.4,1.6,2.5,0.4,0.9,1.3,1.6,0.1,0.4,0.1,1.1,1.3,0.9,0.0,1.1,0.4,3.8
403,Zeke Nnaji,PF,21,DEN,39,1,16.7,2.4,4.5,0.9,1.9,1.5,2.6,1.0,1.6,1.4,2.3,0.4,0.3,0.3,0.5,1.9,6.8
404,Nerlens Noel,C,27,NYK,25,11,22.5,1.3,2.4,0.0,0.1,1.3,2.3,0.8,1.2,1.9,3.7,0.9,1.2,1.2,0.8,2.7,3.4
405,Jaylen Nowell,SG,22,MIN,42,1,14.6,3.0,6.3,0.9,2.3,2.1,4.0,1.0,1.3,0.4,1.6,2.1,0.5,0.1,0.5,1.1,7.7
406,Frank Ntilikina,PG,23,DAL,47,5,12.5,1.5,4.0,0.7,2.1,0.8,1.9,0.5,0.5,0.1,1.2,1.1,0.5,0.1,0.6,1.1,4.3
407,Jusuf Nurki?,C,27,POR,56,56,28.2,5.7,10.7,0.3,1.0,5.5,9.7,3.3,4.8,3.0,8.1,2.8,1.1,0.6,2.6,3.4,15.0
408,David Nwaba,SF,29,HOU,37,4,13.6,1.9,4.0,0.3,1.0,1.6,3.0,1.1,1.5,0.9,2.8,0.8,0.6,0.5,0.5,1.2,5.2
